experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.438556338028169,0.42744033646322377,0.3903649816896308,0.2690140845070423,0.4311041755584009,0.314399785407449
semantic_t0.8,0.35422535211267603,0.34534917840375584,0.31118570843507665,0.21338028169014084,0.3401334776334776,0.24929668623744847
semantic_t0.9,0.313556338028169,0.3085485133020344,0.2813513875454203,0.19014084507042253,0.31040510741214966,0.2240788680618838
semantic_t0.95,0.29166666666666663,0.2850547730829421,0.2626945858944221,0.17887323943661973,0.290987084120887,0.21023024602664206
