experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.43629032258064515,0.4260752688172043,0.36007379036758386,0.24516129032258066,0.3760822510822511,0.27456343730062893
semantic_t0.8,0.3489247311827957,0.3307123655913978,0.2702738776979182,0.1903225806451613,0.28799981380626544,0.21180410091700416
semantic_t0.9,0.3336021505376344,0.31471774193548385,0.27775293275967605,0.1870967741935484,0.30708583531164174,0.21378706419029003
semantic_t0.95,0.27123655913978495,0.2673835125448029,0.24090950815392484,0.16129032258064516,0.27252362333007496,0.18631534236372949
