experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_256_25,0.42983870967741933,0.41003584229390677,0.4575593385330427,0.2870967741935484,0.4550958897733091,0.3290655580978162
fixed_512_50,0.5887096774193549,0.551836917562724,0.6117882221015397,0.39354838709677414,0.5738630545082158,0.4321556211024902
recursive_512_50,0.4916666666666667,0.5027777777777778,0.5590577513550095,0.3451612903225807,0.5388010287203835,0.3907440624945369
sentence_s3,0.5166666666666666,0.5005600358422939,0.5485846214789484,0.3290322580645161,0.4908945445235768,0.3627534283132006
sentence_s5,0.575268817204301,0.5462813620071685,0.59480141616177,0.3806451612903226,0.5670215984732113,0.41893945976014285
