experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.49419854963740933,0.4842238337362118,0.48211189597486215,0.3291322830707677,0.547234686406565,0.3881534222366121
semantic_t0.8,0.403809285654747,0.3959618376816426,0.38323673977641903,0.26356589147286824,0.43655670289007015,0.3099632826650249
semantic_t0.9,0.3722847378511294,0.3668774832597038,0.3515109154707435,0.24296074018504626,0.3995835406531191,0.2851951802637142
semantic_t0.95,0.3648870550971076,0.35960691561779334,0.34480992869915317,0.23780945236309078,0.3925591539599182,0.279593368914154
