experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_512_0,0.20748686742107794,0.19570177560657437,0.18854425806364714,0.028666666666666667,0.2866666666666667,0.052121212121212124
fixed_512_128,0.25604026119505996,0.24301153630797595,0.2338194784923021,0.034666666666666665,0.3466666666666667,0.06303030303030303
recursive_512_64,0.21797275219334045,0.21325999476386473,0.20390380457284782,0.030666666666666672,0.30666666666666664,0.055757575757575756
sentence_s5,0.19181297337566688,0.1866573278516003,0.17901555108472375,0.027,0.27,0.049090909090909095
