sample_id,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
5845807154439238035,semantic_t0.7_miniLM,0,4774615,0.5,0.5,0.6309297535714575,0.2,0.25,0.22222222222222224
9054614851585194300,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-5113798440195778228,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
8387669331103688998,semantic_t0.7_miniLM,0,4774615,1.0,0.8055555555555555,0.9060254355346823,0.6,1.5,0.857142857142857
4282467432939079497,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
6765439613186460566,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
5034120986821741302,semantic_t0.7_miniLM,0,4774615,0.3333333333333333,0.41666666666666663,0.5706417189553201,0.4,0.6666666666666666,0.5
6646785305069887702,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.3333333333333333,0.25
8190982389268233856,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
2707110029062391937,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-633331029414807997,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.2,0.2,0.20000000000000004
-3290369237520651808,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-2841277206184503954,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-1754805187203381147,semantic_t0.7_miniLM,0,4774615,0.2,0.2,0.38685280723454163,0.2,0.3333333333333333,0.25
4037111734078964176,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6455678742384626238,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
6472062791424952839,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
6747572638829460613,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-2542584630840698502,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
2385669093564241980,semantic_t0.7_miniLM,0,4774615,0.5,0.5,0.6309297535714575,0.2,0.3333333333333333,0.25
1189570584757520356,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.4,0.6666666666666666,0.5
-181266866927058685,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,1.0,0.4166666666666667,0.5882352941176471
-8437777092286894905,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-2735858160795120633,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
8826737883107834851,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,1.0,0.7142857142857143,0.8333333333333333
5247244872294608867,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.6,1.5,0.857142857142857
-5842731481904704359,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.6,1.5,0.857142857142857
3708307747368066018,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.8,2.0,1.142857142857143
-2729776677292872441,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
8031123219863096546,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
8754676645953693494,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6931804958531305376,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.6,1.5,0.857142857142857
8074260234894770027,semantic_t0.7_miniLM,0,4774615,0.5,0.45,0.6240505200038379,0.4,1.0,0.5714285714285715
1316682491540309165,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
4995915742862453716,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
1746623296513150549,semantic_t0.7_miniLM,0,4774615,0.25,0.325,0.5012658353418871,0.4,0.6666666666666666,0.5
8828798649155876489,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-7704995195953759582,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
3415183212134448424,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
8335007769519260055,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,1.0,1.25,1.1111111111111112
94056898116713667,semantic_t0.7_miniLM,0,4774615,1.0,0.8333333333333333,0.9197207891481876,0.4,0.6666666666666666,0.5
-7837443156016942170,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
7665272343213005574,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-9210399369423145526,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6498599530069237686,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-4843780094930145968,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-2501156395697016695,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
7326776183645017870,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
7495913317504035048,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-8164518276082598852,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
4179542839763804852,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-1231973918024875104,semantic_t0.7_miniLM,0,4774615,1.0,1.0,1.0,0.4,0.5,0.4444444444444445
-1411212211687665442,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
-6937501514338801955,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
7869891430463006813,semantic_t0.7_miniLM,0,4774615,0.0,0.0,0.0,0.0,0.0,0.0
