experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_256_25,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.09399641577060931,0.13280966345482473
fixed_512_50,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.06980984964855932,0.10165130568356374
recursive_256_25,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.05917236884978821,0.0833472978634269
recursive_512_50,0.27419354838709675,0.27419354838709675,0.27419354838709675,0.27419354838709675,0.10027579946934785,0.14143625192012288
semantic_t0.7_miniLM,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.05273297491039426,0.07694688823721081
semantic_t0.85_miniLM,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.1774193548387097,0.053584229390681,0.07826420890937019
sentence_s3,0.24193548387096775,0.24193548387096775,0.24193548387096775,0.24193548387096775,0.0818100358422939,0.11774193548387096
sentence_s5,0.27419354838709675,0.27419354838709675,0.27419354838709675,0.27419354838709675,0.09169925057021831,0.13088954056695992
