experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.14677777777777778,0.14885185185185185,0.12267068927729814,0.056,0.14,0.08000000000000002
semantic_t0.8,0.18533333333333335,0.18485185185185185,0.15142960263619792,0.06666666666666667,0.16666666666666666,0.09523809523809525
semantic_t0.9,0.22266666666666665,0.22218518518518518,0.18284022355825053,0.08133333333333334,0.20333333333333334,0.1161904761904762
semantic_t0.95,0.2152222222222222,0.21601851851851853,0.1837263021006241,0.08533333333333334,0.21333333333333335,0.12190476190476192
