experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.48629032258064514,0.4694220430107527,0.3943894302664119,0.27741935483870966,0.3863746916166271,0.2977960475114175
semantic_t0.8,0.389516129032258,0.3765681003584229,0.3417587815972078,0.23870967741935484,0.37160312805474094,0.27170029790997535
semantic_t0.9,0.40161290322580645,0.38290770609318997,0.3282492588587692,0.22580645161290322,0.3409579667644184,0.25249906903132713
semantic_t0.95,0.3338709677419355,0.31706989247311823,0.28465596896108286,0.1935483870967742,0.30466764418377323,0.21921461155332123
