experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.4632658164541135,0.4510290767136228,0.43794490500847605,0.29607401850462617,0.4922278561476497,0.3494723488205403
semantic_t0.8,0.36279069767441857,0.35480988302631217,0.33327386773714557,0.22590647661915478,0.37531636704320154,0.2666739860962902
semantic_t0.9,0.33584229390681003,0.32962059959434303,0.3080124279468266,0.20965241310327581,0.3483270790166593,0.24757815872755126
semantic_t0.95,0.32471451196132367,0.3190710872162485,0.2975335328406385,0.2024506126531633,0.33683091042184105,0.23902596567180198
