experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.2572183098591549,0.2568906494522692,0.22956547738348201,0.16126760563380282,0.26192318049712415,0.1897112208421239
semantic_t0.8,0.22030516431924882,0.216299882629108,0.18043138666425537,0.12323943661971831,0.19873013332520376,0.1446014206266899
semantic_t0.9,0.20146713615023476,0.20017116588419406,0.17072783316054624,0.11408450704225352,0.18993709733146352,0.13494324533056926
semantic_t0.95,0.1984154929577465,0.19697280907668233,0.17253255072868515,0.11338028169014086,0.19178835640103248,0.13499773895900657
