experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.22288888888888886,0.22203703703703706,0.20584724183887243,0.09733333333333334,0.24333333333333335,0.13904761904761906
semantic_t0.8,0.30822222222222223,0.30871296296296297,0.2839002632956841,0.13333333333333333,0.3333333333333333,0.1904761904761905
semantic_t0.9,0.3317777777777778,0.32637037037037037,0.29385068045693874,0.132,0.33,0.18857142857142858
semantic_t0.95,0.31822222222222224,0.31596296296296295,0.28456385113890903,0.128,0.32,0.18285714285714286
