experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.31177777777777776,0.3074074074074074,0.2883248786594983,0.13333333333333333,0.3333333333333333,0.1904761904761905
semantic_t0.8,0.3551111111111111,0.3537962962962963,0.30979236395990495,0.13733333333333334,0.3433333333333333,0.1961904761904762
semantic_t0.9,0.35255555555555557,0.3509166666666667,0.31379265595618755,0.14,0.35,0.2
semantic_t0.95,0.34144444444444444,0.3416018518518518,0.3040382554245733,0.136,0.34,0.1942857142857143
