experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.2403225806451613,0.24128584229390682,0.20271217896832733,0.13870967741935483,0.21177908113391983,0.15317460317460319
semantic_t0.8,0.24516129032258063,0.23671594982078853,0.17737217373265465,0.11612903225806452,0.1710654936461388,0.12598275380533444
semantic_t0.9,0.21774193548387097,0.21547939068100358,0.18206624165018262,0.12258064516129032,0.19297409579667646,0.13720593922206825
semantic_t0.95,0.1774193548387097,0.1711021505376344,0.1577492456639371,0.1064516129032258,0.179321440208537,0.12332345074280558
