experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_256_25,0.3321876600102407,0.30869942660457256,0.3854855527908719,0.1903225806451613,0.6282223153190895,0.275179952957592
fixed_512_50,0.3465501792114695,0.34849857057518346,0.43063674122158985,0.2370967741935484,0.7450687753107108,0.3374884230309677
recursive_256_25,0.2523489503328213,0.24272502773510837,0.30682985367217386,0.15645161290322582,0.4856281711120421,0.22164098911951702
recursive_512_50,0.37832821300563235,0.36599873312526926,0.4388889837540078,0.2064516129032258,0.6701577991900572,0.29760730159461807
semantic_t0.7_miniLM,0.24301075268817204,0.2310905586846447,0.2832352641703092,0.10645161290322581,0.3020894428152493,0.14535418363941285
semantic_t0.85_miniLM,0.2325268817204301,0.22154672502214745,0.2598048886780951,0.1,0.30625610948191595,0.1399478068620683
sentence_s3,0.32737455197132614,0.30504198871902405,0.3671876304779928,0.15967741935483873,0.5005987292277615,0.22609301894106648
sentence_s5,0.3623143881208397,0.34662342834385845,0.41056922220452385,0.19516129032258064,0.567804775869292,0.26978058061649396
