experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
semantic_t0.5,0.3964788732394366,0.38504010172143976,0.3334833815344985,0.22042253521126762,0.359563568278357,0.26074563439414306
semantic_t0.8,0.2890258215962441,0.2861355633802817,0.25657216555625567,0.17323943661971833,0.28435804219254923,0.20557727276865637
semantic_t0.9,0.26332159624413143,0.2596977699530516,0.24614372793342418,0.1683098591549296,0.2785494532853688,0.20005893547215006
semantic_t0.95,0.26050469483568073,0.2568026212832551,0.24378013971898538,0.1683098591549296,0.2779359236225434,0.20021962181241387
